gtc	number_snps	ploidy	ploidy_type	sample_name	sample_plate	sample_well	cluster_file	snp_manifest	scan_date	autocall_date	autocall_version	number_normalization_transforms	number_x_controls	number_y_controls	scanner_name	pmt_green	pmt_red	scanner_software_version	scanner_username	call_rate	computed_gender	logr_deviation	gencall_score_10_percentile	dx	gencall_score_50_percentile	number_valid_calls	number_invalid_calls	number_intensity_only_or_zeroed_loci	p05_x	p50_x	p95_x	p05_y	p50_y	p95_y	sentrix_barcode
5666151006_R04C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	5/18/2011 9:06:32 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	BYERSAM	0.977782	F	0.325815	0.441898	0	0.878720	168291	3824	1547	292	3079	18656	192	5547	12586	5666151006
5666151006_R06C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	5/18/2011 9:36:47 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	BYERSAM	0.981576	M	0.415271	0.445317	0	0.883025	168944	3171	1547	221	2288	18479	81	7225	16722	5666151006
9388954081_R01C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	9/6/2013 8:11:00 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.989925	F	0.215140	0.447802	0	0.889481	170381	1734	1547	191	4138	13558	126	3859	7089	9388954081
9255473005_R02C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	2/28/2013 3:43:54 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.991680	F	0.212509	0.454101	0	0.889967	170683	1432	1547	346	5857	24316	228	4544	9155	9255473005
9255473003_R02C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	7/25/2013 4:50:47 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.988909	F	0.228302	0.454101	0	0.890123	170206	1909	1547	475	7355	27676	238	4738	9302	9255473003
9255473005_R03C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	2/28/2013 3:59:04 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.987979	F	0.236827	0.445317	0	0.887558	170046	2069	1547	327	6565	24803	200	5109	10456	9255473005
9388954081_R02C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	9/6/2013 9:56:57 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	byersam	0.990419	M	0.244555	0.454101	0	0.890242	170466	1649	1547	230	5205	17722	137	5277	9857	9388954081
3998887016_R03C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 9:25:40 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.988978	M	0.267325	0.447803	0	0.889149	170218	1897	1547	191	3347	20929	115	4137	9318	3998887016
3998887014_R03C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 6:18:25 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.987514	F	0.239011	0.445317	0	0.888267	169966	2149	1547	181	2566	14128	97	2379	5177	3998887014
3998887014_R04C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	6/4/2015 6:33:36 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	S327	478	564	3.6.17.15868	rybakbi	0.986892	M	0.266113	0.445317	0	0.888342	169859	2256	1547	203	2430	14439	117	2499	5637	3998887014
