idat	number_probes	number_mid_blocks	red_green	manifest_file	sentrix_barcode	chip_type	sentrix_position	opa	sample_name	description	sample_plate	sample_well	unknown1	unknown2	chip_type_guess	scan_date	scanner_data
6331337001_R01C02_Grn.idat	191668	191668	00 00 00 00		6331337001	BeadChip 12x1Q	R01C02								CanineHD	4/6/2012 8:16:29 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337003_R05C02_Grn.idat	191668	191668	00 00 00 00		6331337003	BeadChip 12x1Q	R05C02								CanineHD	4/6/2012 9:23:58 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337010_R03C01_Grn.idat	191668	191668	00 00 00 00		6331337010	BeadChip 12x1Q	R03C01								CanineHD	4/6/2012 9:44:09 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331273004_R03C01_Grn.idat	191668	191668	00 00 00 00		6331273004	BeadChip 12x1Q	R03C01								CanineHD	4/6/2012 7:19:21 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331273004_R05C02_Grn.idat	191668	191668	00 00 00 00		6331273004	BeadChip 12x1Q	R05C02								CanineHD	4/6/2012 7:34:35 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337012_R03C02_Grn.idat	191668	191668	00 00 00 00		6331337012	BeadChip 12x1Q	R03C02								CanineHD	4/6/2012 9:31:11 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337010_R05C02_Grn.idat	191668	191668	00 00 00 00		6331337010	BeadChip 12x1Q	R05C02								CanineHD	4/6/2012 9:58:52 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337012_R06C02_Grn.idat	191668	191668	00 00 00 00		6331337012	BeadChip 12x1Q	R06C02								CanineHD	4/6/2012 9:36:36 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337005_R02C02_Grn.idat	191668	191668	00 00 00 00		6331337005	BeadChip 12x1Q	R02C02								CanineHD	4/6/2012 9:42:56 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337012_R04C01_Grn.idat	191668	191668	00 00 00 00		6331337012	BeadChip 12x1Q	R04C01								CanineHD	4/6/2012 9:22:02 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337004_R01C02_Grn.idat	191668	191668	00 00 00 00		6331337004	BeadChip 12x1Q	R01C02								CanineHD	4/6/2012 10:05:32 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331273010_R05C02_Grn.idat	191668	191668	00 00 00 00		6331273010	BeadChip 12x1Q	R05C02								CanineHD	4/6/2012 8:47:20 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331273010_R03C01_Grn.idat	191668	191668	00 00 00 00		6331273010	BeadChip 12x1Q	R03C01								CanineHD	4/6/2012 8:32:32 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337012_R05C02_Grn.idat	191668	191668	00 00 00 00		6331337012	BeadChip 12x1Q	R05C02								CanineHD	4/6/2012 9:34:48 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337005_R01C02_Grn.idat	191668	191668	00 00 00 00		6331337005	BeadChip 12x1Q	R01C02								CanineHD	4/6/2012 9:41:09 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337003_R04C01_Grn.idat	191668	191668	00 00 00 00		6331337003	BeadChip 12x1Q	R04C01								CanineHD	4/6/2012 9:11:20 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337003_R06C02_Grn.idat	191668	191668	00 00 00 00		6331337003	BeadChip 12x1Q	R06C02								CanineHD	4/6/2012 9:25:48 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337001_R02C02_Grn.idat	191668	191668	00 00 00 00		6331337001	BeadChip 12x1Q	R02C02								CanineHD	4/6/2012 8:18:17 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331273004_R04C01_Grn.idat	191668	191668	00 00 00 00		6331273004	BeadChip 12x1Q	R04C01								CanineHD	4/6/2012 7:21:12 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331273004_R06C02_Grn.idat	191668	191668	00 00 00 00		6331273004	BeadChip 12x1Q	R06C02								CanineHD	4/6/2012 7:36:22 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337012_R03C01_Grn.idat	191668	191668	00 00 00 00		6331337012	BeadChip 12x1Q	R03C01								CanineHD	4/6/2012 9:20:18 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331273001_R02C02_Grn.idat	191668	191668	00 00 00 00		6331273001	BeadChip 12x1Q	R02C02								CanineHD	4/6/2012 7:53:40 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337003_R04C02_Grn.idat	191668	191668	00 00 00 00		6331337003	BeadChip 12x1Q	R04C02								CanineHD	4/6/2012 9:22:08 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331409001_R03C01_Grn.idat	191668	191668	00 00 00 00		6331409001	BeadChip 12x1Q	R03C01								CanineHD	4/6/2012 8:56:44 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337001_R05C01_Grn.idat	191668	191668	00 00 00 00		6331337001	BeadChip 12x1Q	R05C01								CanineHD	4/6/2012 8:12:49 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331273010_R04C01_Grn.idat	191668	191668	00 00 00 00		6331273010	BeadChip 12x1Q	R04C01								CanineHD	4/6/2012 8:34:33 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331273010_R06C02_Grn.idat	191668	191668	00 00 00 00		6331273010	BeadChip 12x1Q	R06C02								CanineHD	4/6/2012 8:49:10 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331273004_R04C02_Grn.idat	191668	191668	00 00 00 00		6331273004	BeadChip 12x1Q	R04C02								CanineHD	4/6/2012 7:32:43 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6241420019_R01C02_Grn.idat	191668	191668	00 00 00 00		6241420019	BeadChip 12x1Q	R01C02								CanineHD	4/6/2012 8:51:18 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337010_R06C02_Grn.idat	191668	191668	00 00 00 00		6331337010	BeadChip 12x1Q	R06C02								CanineHD	4/6/2012 10:00:49 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337003_R02C01_Grn.idat	191668	191668	00 00 00 00		6331337003	BeadChip 12x1Q	R02C01								CanineHD	4/6/2012 9:07:39 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331409001_R05C02_Grn.idat	191668	191668	00 00 00 00		6331409001	BeadChip 12x1Q	R05C02								CanineHD	4/6/2012 9:10:58 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6241420004_R02C02_Grn.idat	191668	191668	00 00 00 00		6241420004	BeadChip 12x1Q	R02C02								CanineHD	4/6/2012 6:33:12 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6241420027_R04C01_Grn.idat	191668	191668	00 00 00 00		6241420027	BeadChip 12x1Q	R04C01								CanineHD	4/6/2012 5:13:27 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6241420027_R06C02_Grn.idat	191668	191668	00 00 00 00		6241420027	BeadChip 12x1Q	R06C02								CanineHD	4/6/2012 5:28:04 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6241420005_R02C02_Grn.idat	191668	191668	00 00 00 00		6241420005	BeadChip 12x1Q	R02C02								CanineHD	4/6/2012 5:44:41 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6241420006_R06C02_Grn.idat	191668	191668	00 00 00 00		6241420006	BeadChip 12x1Q	R06C02								CanineHD	4/6/2012 6:16:18 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337004_R02C02_Grn.idat	191668	191668	00 00 00 00		6331337004	BeadChip 12x1Q	R02C02								CanineHD	4/6/2012 10:07:19 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6241420006_R04C01_Grn.idat	191668	191668	00 00 00 00		6241420006	BeadChip 12x1Q	R04C01								CanineHD	4/6/2012 6:01:46 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337010_R04C01_Grn.idat	191668	191668	00 00 00 00		6331337010	BeadChip 12x1Q	R04C01								CanineHD	4/6/2012 9:45:55 PM	sherlockID=N307|ScannerID=N307|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6241420010_R02C02_Grn.idat	191668	191668	00 00 00 00		6241420010	BeadChip 12x1Q	R02C02								CanineHD	4/6/2012 7:04:01 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
6331337005_R05C01_Grn.idat	191668	191668	00 00 00 00		6331337005	BeadChip 12x1Q	R05C01								CanineHD	4/6/2012 9:37:26 PM	sherlockID=N104 (x64)|ScannerID=N104 (x64)|Username=gtsill|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.28
